transaction_id,customer_id,transaction_date,amount,currency,type,original_transaction_id,status
TXN000083,CUST0050,2026-01-25,80588.47,USD,payment,,completed
TXN000084,CUST0046,2026-01-10,50000.0,USD,payment,,completed
TXN000085,CUST0015,2026-01-13,105622.72,USD,refund,TXN000053,completed
TXN000086,CUST0022,2026-01-18,40000.0,USD,payment,,completed
TXN000087,CUST0049,2026-01-19,35000.0,USD,payment,,pending
TXN000088,CUST0027,2026-01-18,113389.77,USD,payment,,completed
TXN000089,CUST0032,2026-01-08,44575.62,USD,payment,,pending
TXN000090,CUST0047,2026-01-06,126873.32,USD,payment,,completed
TXN000091,CUST0026,2026-01-19,100000.0,USD,payment,,pending
TXN000092,CUST0012,2026-01-02,45000.0,USD,payment,,pending
TXN000093,CUST0018,2026-01-25,142924.6,USD,payment,,pending
TXN000094,CUST0002,2026-01-24,83215.76,USD,payment,,completed
TXN000095,CUST0050,2026-01-31,99504.43,USD,payment,,completed
TXN000096,CUST0002,2026-01-20,100000.0,USD,payment,,completed
TXN000097,CUST0030,2026-01-23,42155.34,USD,payment,,completed
TXN000098,CUST0050,2026-01-27,75000.0,USD,refund,TXN000040,completed
TXN000099,CUST0037,2026-01-22,136663.79,USD,payment,,completed
TXN000100,CUST0005,2026-01-19,105139.09,USD,payment,,completed
TXN000101,CUST0044,2026-01-20,121801.55,USD,payment,,completed
TXN000102,CUST0023,2026-01-18,67114.81,USD,payment,,completed
TXN000103,CUST0001,2026-01-28,65908.52,USD,payment,,completed
TXN000104,CUST0041,2026-01-29,125162.56,USD,payment,,completed
TXN000105,CUST0040,2026-01-26,138344.56,USD,payment,,completed
TXN000106,CUST0021,2026-01-28,40596.8,USD,payment,,pending
TXN000107,CUST0016,2026-01-25,72382.73,USD,payment,,completed
TXN000108,CUST0032,2026-01-28,52127.05,USD,payment,,completed
TXN000109,CUST0022,2026-01-09,132646.4,USD,payment,,completed
TXN000110,CUST0034,2026-01-31,40000.0,USD,payment,,completed
TXN000111,CUST0045,2026-01-16,98655.92,USD,payment,,completed
TXN000112,CUST0019,2026-01-08,100000.0,USD,payment,,pending
TXN000113,CUST0036,2026-01-17,54844.82,USD,payment,,completed
TXN000114,CUST0045,2026-01-15,15000.0,USD,payment,,completed
TXN000115,CUST0008,2026-01-24,82700.27,USD,payment,,completed
TXN000116,CUST0048,2026-01-16,45092.45,USD,payment,,completed
TXN000117,CUST0007,2026-01-27,20000.0,USD,payment,,completed
TXN000118,CUST0018,2026-01-02,146272.77,USD,payment,,completed
TXN000119,CUST0041,2026-01-28,10000.0,USD,payment,,pending
TXN000120,CUST0031,2026-01-15,54402.36,USD,payment,,pending
TXN000121,CUST0008,2026-01-27,14474.8,USD,payment,,completed
TXN000122,CUST0010,2026-01-05,122615.6,USD,payment,,completed
TXN000123,CUST0008,2026-01-18,115844.3,USD,payment,,completed
TXN000124,CUST0050,2026-01-17,60154.81,USD,payment,,pending
TXN000125,CUST0020,2026-01-19,95048.96,USD,payment,,completed
TXN000126,CUST0041,2026-01-07,25000.0,USD,payment,,completed
TXN000127,CUST0011,2026-01-01,64235.05,USD,payment,,completed
TXN000128,CUST0015,2026-01-10,107508.6,USD,payment,,completed
TXN000129,CUST0017,2026-01-26,119730.92,USD,payment,,completed
TXN000130,CUST0028,2026-01-04,83961.54,USD,payment,,completed
TXN000131,CUST0005,2026-01-02,75000.0,USD,payment,,pending
TXN000132,CUST0008,2026-01-15,104858.31,USD,payment,,pending
TXN000133,CUST0029,2026-01-03,91715.32,USD,payment,,completed
TXN000134,CUST0002,2026-01-03,38194.04,USD,payment,,completed
TXN000135,CUST0049,2026-01-22,124106.08,USD,payment,,completed
TXN000136,CUST0031,2026-01-17,99468.88,USD,payment,,pending
TXN000137,CUST0041,2026-01-27,35000.0,USD,payment,,completed
TXN000138,CUST0043,2026-01-04,45000.0,USD,payment,,pending
TXN000139,CUST0049,2026-01-18,30000.0,USD,payment,,pending
TXN000140,CUST0033,2026-01-27,148277.29,USD,payment,,pending
TXN000141,CUST0004,2026-01-07,80173.71,USD,payment,,pending
TXN000142,CUST0049,2026-01-02,34515.94,USD,payment,,pending
TXN000143,CUST0045,2026-01-16,22606.78,USD,payment,,completed
TXN000144,CUST0046,2026-01-06,40000.0,USD,payment,,completed
TXN000145,CUST0030,2026-01-31,22032.59,USD,payment,,completed
TXN000146,CUST0033,2026-01-23,44646.61,USD,payment,,completed
TXN000147,CUST0030,2026-01-18,75000.0,USD,payment,,completed
TXN000148,CUST0005,2026-01-09,117037.89,USD,payment,,completed
TXN000149,CUST0001,2026-01-10,110277.39,USD,payment,,pending
TXN000150,CUST0010,2026-01-15,50000.0,USD,payment,,pending
TXN000151,CUST0030,2026-01-30,25000.0,USD,payment,,completed
TXN000152,CUST0050,2026-01-14,11328.86,USD,payment,,pending
TXN000153,CUST0025,2026-01-22,119897.08,USD,payment,,completed
TXN000154,CUST0009,2026-01-17,15000.0,USD,payment,,pending
TXN000155,CUST0007,2026-01-17,20000.0,USD,payment,,completed
TXN000156,CUST0005,2026-01-16,75000.0,USD,payment,,completed
TXN000157,CUST0022,2026-01-28,102781.84,USD,payment,,pending
TXN000158,CUST0035,2026-01-02,100000.0,USD,payment,,completed
TXN000159,CUST0048,2026-01-03,100000.0,USD,payment,,completed
TXN000160,CUST0029,2026-01-06,105630.17,USD,refund,TXN000015,completed
TXN000161,CUST0019,2026-01-12,50000.0,USD,payment,,completed
TXN000162,CUST0011,2026-01-06,16450.41,USD,payment,,completed
TXN000163,CUST0032,2026-01-30,100000.0,USD,payment,,completed
TXN000164,CUST0043,2026-01-01,135341.74,USD,payment,,completed
TXN000165,CUST0005,2026-01-15,142059.17,USD,payment,,pending
TXN000166,CUST0045,2026-01-09,40000.0,USD,payment,,completed
TXN000167,CUST0016,2026-01-13,87928.79,USD,payment,,completed
TXN000168,CUST0002,2026-01-27,75000.0,USD,payment,,completed
TXN000169,CUST0039,2026-01-24,77025.46,USD,payment,,completed
TXN000170,CUST0039,2026-01-26,56086.54,USD,payment,,completed
TXN000171,CUST0041,2026-01-04,135993.54,USD,payment,,pending
TXN000172,CUST0003,2026-01-19,30000.0,USD,payment,,pending
TXN000173,CUST0012,2026-01-07,24163.17,USD,payment,,completed
TXN000174,CUST0011,2026-01-09,137537.1,USD,payment,,completed
TXN000175,CUST0048,2026-01-28,15000.0,USD,payment,,completed
TXN000176,CUST0044,2026-01-24,102788.9,USD,payment,,completed
TXN000177,CUST0006,2026-01-26,15000.0,USD,payment,,completed
TXN000178,CUST0038,2026-01-13,124250.51,USD,payment,,completed
TXN000179,CUST0031,2026-01-01,94834.3,USD,payment,,completed
TXN000180,CUST0042,2026-01-03,97133.57,USD,payment,,pending
TXN000181,CUST0008,2026-01-05,45000.0,USD,payment,,completed
TXN000182,CUST0035,2026-01-05,61353.65,USD,payment,,pending
TXN000183,CUST0038,2026-01-24,110356.88,USD,payment,,pending
TXN000184,CUST0040,2026-01-14,35000.0,USD,payment,,pending
TXN000185,CUST0016,2026-01-28,57589.48,USD,payment,,completed
TXN000186,CUST0004,2026-01-13,45002.81,USD,payment,,pending
TXN000187,CUST0006,2026-01-22,35755.34,USD,payment,,completed
TXN000188,CUST0022,2026-01-08,148379.03,USD,payment,,completed
TXN000189,CUST0038,2026-01-07,20000.0,USD,payment,,completed
TXN000190,CUST0018,2026-01-28,147684.08,USD,payment,,completed
TXN000191,CUST0008,2026-01-22,35000.0,USD,payment,,completed
TXN000192,CUST0038,2026-01-11,20000.0,USD,payment,,completed
TXN000193,CUST0048,2026-01-03,74055.66,USD,payment,,completed
TXN000194,CUST0029,2026-01-17,37124.71,USD,payment,,completed
TXN000195,CUST0030,2026-01-21,45000.0,USD,payment,,pending
TXN000196,CUST0044,2026-01-04,76088.98,USD,refund,TXN000021,completed
TXN000197,CUST0021,2026-01-20,75000.0,USD,payment,,completed
TXN000198,CUST0025,2026-01-20,81930.74,USD,payment,,completed
TXN000199,CUST0045,2026-01-04,128654.95,USD,payment,,completed
TXN000200,CUST0028,2026-01-15,133773.2,USD,payment,,pending
TXNORPH001,CUST9999,2026-01-15,150.0,USD,refund,TXN999999,completed
