settlement_id,transaction_id,settlement_date,settled_amount,settlement_status,bank_reference
STL000057,TXN000084,2026-01-12,50000.0,settled,BANK00000057
STL000058,TXN000086,2026-01-19,40000.005,settled,BANK00000058
STL000059,TXN000088,2026-01-19,113389.77,settled,BANK00000059
STL000060,TXN000090,2026-01-08,126873.32,settled,BANK00000060
STL000061,TXN000094,2026-01-25,83215.76,settled,BANK00000061
STL000062,TXN000095,2026-02-02,99504.43,settled,BANK00000062
STL000063,TXN000096,2026-01-21,100000.0,settled,BANK00000063
STL000064,TXN000097,2026-01-24,42155.34,settled,BANK00000064
STL000065,TXN000099,2026-01-24,136663.79,settled,BANK00000065
STL000066,TXN000100,2026-01-21,105139.09,settled,BANK00000066
STL000067,TXN000101,2026-01-22,121801.55,settled,BANK00000067
STL000068,TXN000102,2026-01-20,67114.81,settled,BANK00000068
STL000069,TXN000103,2026-01-29,65908.52,settled,BANK00000069
STL000070,TXN000104,2026-01-31,125162.56,settled,BANK00000070
STL000071,TXN000105,2026-01-27,138344.56,settled,BANK00000071
STL000072,TXN000107,2026-01-26,72382.73,settled,BANK00000072
STL000073,TXN000108,2026-01-30,52127.045,settled,BANK00000073
STL000074,TXN000109,2026-01-11,132646.405,settled,BANK00000074
STL000075,TXN000110,2026-02-02,40000.0,settled,BANK00000075
STL000076,TXN000111,2026-01-17,98655.92,settled,BANK00000076
STL000077,TXN000113,2026-01-18,54844.82,settled,BANK00000077
STL000078,TXN000114,2026-01-17,15000.0,settled,BANK00000078
STL000079,TXN000115,2026-01-25,82700.27,settled,BANK00000079
STL000080,TXN000116,2026-01-18,45092.45,settled,BANK00000080
STL000081,TXN000117,2026-01-28,20000.0,settled,BANK00000081
STL000082,TXN000118,2026-01-03,146272.765,settled,BANK00000082
STL000083,TXN000121,2026-01-29,14474.8,settled,BANK00000083
STL000084,TXN000122,2026-01-06,122615.6,settled,BANK00000084
STL000085,TXN000123,2026-01-20,115844.3,settled,BANK00000085
STL000086,TXN000125,2026-01-21,95048.96,settled,BANK00000086
STL000087,TXN000126,2026-01-08,25000.0,settled,BANK00000087
STL000088,TXN000127,2026-01-03,64235.055,settled,BANK00000088
STL000089,TXN000128,2026-01-12,107508.6,settled,BANK00000089
STL000090,TXN000129,2026-01-27,119730.92,settled,BANK00000090
STL000091,TXN000130,2026-01-05,83961.54,settled,BANK00000091
STL000092,TXN000133,2026-01-05,91715.32,settled,BANK00000092
STL000093,TXN000134,2026-01-05,38194.045,settled,BANK00000093
STL000094,TXN000135,2026-01-24,124106.08,settled,BANK00000094
STL000095,TXN000137,2026-01-29,35000.0,settled,BANK00000095
STL000096,TXN000143,2026-01-17,22606.78,settled,BANK00000096
STL000097,TXN000144,2026-01-08,40000.0,settled,BANK00000097
STL000098,TXN000145,2026-02-02,22032.59,settled,BANK00000098
STL000099,TXN000146,2026-01-24,44646.61,settled,BANK00000099
STL000100,TXN000147,2026-01-20,75000.0,settled,BANK00000100
STL000101,TXN000148,2026-01-10,117037.89,settled,BANK00000101
STL000102,TXN000151,2026-02-01,25000.0,settled,BANK00000102
STL000103,TXN000153,2026-01-23,119897.08,settled,BANK00000103
STL000104,TXN000155,2026-01-18,20000.0,settled,BANK00000104
STL000105,TXN000156,2026-01-17,75000.0,settled,BANK00000105
STL000106,TXN000158,2026-01-03,100000.0,settled,BANK00000106
STL000107,TXN000159,2026-01-04,100000.0,settled,BANK00000107
STL000108,TXN000161,2026-01-13,50000.0,settled,BANK00000108
STL000109,TXN000162,2026-01-07,16450.41,settled,BANK00000109
STL000110,TXN000163,2026-02-01,100000.0,settled,BANK00000110
STL000111,TXN000164,2026-01-03,135341.74,settled,BANK00000111
STL000112,TXN000166,2026-01-10,40000.0,settled,BANK00000112
STL000113,TXN000167,2026-01-15,87928.79,settled,BANK00000113
STL000114,TXN000168,2026-01-28,75000.0,settled,BANK00000114
STL000115,TXN000169,2026-01-26,77025.46,settled,BANK00000115
STL000116,TXN000170,2026-01-28,56086.54,settled,BANK00000116
STL000117,TXN000173,2026-01-09,24163.17,settled,BANK00000117
STL000118,TXN000174,2026-01-10,137537.1,settled,BANK00000118
STL000119,TXN000175,2026-01-29,15000.0,settled,BANK00000119
STL000120,TXN000176,2026-01-25,102788.9,settled,BANK00000120
STL000121,TXN000177,2026-01-28,15000.0,settled,BANK00000121
STL000122,TXN000178,2026-01-14,124250.51,settled,BANK00000122
STL000123,TXN000179,2026-01-02,94834.3,settled,BANK00000123
STL000124,TXN000181,2026-01-06,45000.0,settled,BANK00000124
STL000125,TXN000185,2026-01-29,57589.48,settled,BANK00000125
STL000126,TXN000187,2026-01-23,35755.34,settled,BANK00000126
STL000127,TXN000188,2026-01-09,148379.03,settled,BANK00000127
STL000128,TXN000189,2026-01-09,20000.0,settled,BANK00000128
STL000129,TXN000190,2026-01-30,147684.075,settled,BANK00000129
STL000130,TXN000191,2026-01-23,35000.0,settled,BANK00000130
STL000131,TXN000192,2026-01-12,20000.0,settled,BANK00000131
STL000132,TXN000193,2026-01-04,74055.66,settled,BANK00000132
STL000133,TXN000194,2026-01-18,37124.71,settled,BANK00000133
STL000134,TXN000197,2026-01-22,75000.0,settled,BANK00000134
STL000135,TXN000198,2026-01-21,81930.735,settled,BANK00000135
STL000136,TXN000199,2026-01-05,128654.95,settled,BANK00000136
STL000137,TXN000177,2026-01-28,15000.0,settled,BANK00000137
STL000138,TXN000024,2026-01-04,-39926.38,settled,BANK00000138
STL000139,TXN000042,2026-02-01,-78635.13,settled,BANK00000139
STL000140,TXN000046,2026-01-12,-139707.66,settled,BANK00000140
STL000141,TXN000067,2026-01-08,-41934.76,settled,BANK00000141
STL000142,TXN000085,2026-01-15,-105622.72,settled,BANK00000142
STL000143,TXN000098,2026-01-28,-75000.0,settled,BANK00000143
STL000144,TXN000160,2026-01-07,-105630.17,settled,BANK00000144
STL000145,TXN000196,2026-01-06,-76088.98,settled,BANK00000145
STL000146,TXNORPH001,2026-01-17,-150.0,settled,BANK00000146
